iter	Passed	Remaining
1057	3303	9187
1058	3306	9183
1059	3309	9179
1060	3312	9174
1061	3315	9171
1062	3318	9167
1063	3320	9163
1064	3323	9159
1065	3326	9155
1066	3329	9151
1067	3332	9149
1068	3335	9144
1069	3338	9140
1070	3340	9136
1071	3343	9132
1072	3346	9128
1073	3349	9125
1074	3352	9121
1075	3355	9117
1076	3358	9113
1077	3360	9110
1078	3364	9108
1079	3367	9105
1080	3370	9102
1081	3373	9098
1082	3376	9095
1083	3380	9092
1084	3383	9089
1085	3385	9085
1086	3388	9081
1087	3391	9077
1088	3393	9072
1089	3397	9069
1090	3399	9065
1091	3402	9061
1092	3405	9057
1093	3408	9053
1094	3411	9049
1095	3414	9046
1096	3416	9042
1097	3419	9038
1098	3422	9033
1099	3425	9029
1100	3428	9026
1101	3430	9022
1102	3433	9018
1103	3436	9014
1104	3439	9010
1105	3442	9006
1106	3445	9003
1107	3447	8999
1108	3450	8995
1109	3453	8991
1110	3456	8987
1111	3459	8984
1112	3462	8980
1113	3465	8976
1114	3467	8973
1115	3470	8968
1116	3472	8963
1117	3476	8960
1118	3478	8956
1119	3481	8953
1120	3484	8950
1121	3487	8946
1122	3490	8943
1123	3494	8940
1124	3496	8936
1125	3499	8932
1126	3502	8928
1127	3505	8925
1128	3508	8922
1129	3511	8919
1130	3514	8915
1131	3517	8911
1132	3520	8907
1133	3523	8904
1134	3526	8901
1135	3529	8898
1136	3532	8894
1137	3534	8890
1138	3538	8887
1139	3541	8884
1140	3544	8881
1141	3547	8877
1142	3549	8872
1143	3552	8868
1144	3555	8864
1145	3557	8860
1146	3559	8854
1147	3562	8851
1148	3565	8846
1149	3568	8842
1150	3571	8839
1151	3574	8836
1152	3576	8831
1153	3579	8827
1154	3582	8824
1155	3584	8818
1156	3587	8815
1157	3590	8811
1158	3593	8807
1159	3595	8803
1160	3598	8799
1161	3600	8794
1162	3604	8791
1163	3606	8786
1164	3609	8782
1165	3611	8778
1166	3614	8775
1167	3618	8772
1168	3621	8769
1169	3624	8765
1170	3626	8762
1171	3629	8758
1172	3632	8754
1173	3634	8748
1174	3636	8744
1175	3639	8740
1176	3642	8736
1177	3645	8732
1178	3648	8728
1179	3650	8724
1180	3653	8721
1181	3655	8715
1182	3658	8711
1183	3661	8707
1184	3663	8703
1185	3667	8700
1186	3670	8697
1187	3672	8693
1188	3675	8689
1189	3678	8686
1190	3681	8683
1191	3684	8680
1192	3687	8677
1193	3690	8673
1194	3693	8669
1195	3695	8664
1196	3698	8660
1197	3701	8657
1198	3704	8653
1199	3706	8649
1200	3711	8650
1201	3716	8652
1202	3720	8650
1203	3725	8650
1204	3730	8653
1205	3734	8652
1206	3739	8654
1207	3742	8649
1208	3745	8646
1209	3750	8646
1210	3753	8645
1211	3757	8643
1212	3761	8641
1213	3764	8638
1214	3767	8635
1215	3769	8630
1216	3772	8627
1217	3775	8623
1218	3777	8618
1219	3781	8615
1220	3784	8613
1221	3787	8609
1222	3790	8606
1223	3793	8602
1224	3796	8599
1225	3798	8594
1226	3801	8591
1227	3804	8587
1228	3807	8583
1229	3808	8577
1230	3812	8575
1231	3814	8571
1232	3817	8567
1233	3820	8564
1234	3823	8560
1235	3827	8558
1236	3830	8555
1237	3833	8552
1238	3836	8548
1239	3838	8544
1240	3841	8540
1241	3843	8535
1242	3846	8531
1243	3849	8527
1244	3851	8523
1245	3854	8518
1246	3857	8515
1247	3860	8512
1248	3863	8508
1249	3866	8505
1250	3867	8498
1251	3870	8496
1252	3874	8493
1253	3877	8491
1254	3881	8489
1255	3884	8486
1256	3887	8483
1257	3890	8479
1258	3893	8476
1259	3896	8472
1260	3899	8469
1261	3902	8465
1262	3905	8463
1263	3908	8459
1264	3911	8456
1265	3914	8453
1266	3917	8450
1267	3920	8447
1268	3923	8444
1269	3927	8441
1270	3930	8438
1271	3931	8432
1272	3935	8429
1273	3938	8426
1274	3941	8423
1275	3943	8419
1276	3947	8416
1277	3950	8413
1278	3952	8409
1279	3955	8406
1280	3958	8402
1281	3961	8399
1282	3964	8395
1283	3967	8391
1284	3970	8388
1285	3973	8385
1286	3976	8382
1287	3979	8379
1288	3982	8376
1289	3985	8372
1290	3988	8370
1291	3991	8366
1292	3995	8364
1293	3998	8360
1294	4000	8357
1295	4004	8354
1296	4006	8350
1297	4009	8346
1298	4012	8343
1299	4015	8339
1300	4018	8336
1301	4021	8332
1302	4024	8329
1303	4027	8326
1304	4030	8323
1305	4033	8319
1306	4036	8316
1307	4039	8313
1308	4042	8309
1309	4044	8305
1310	4047	8302
1311	4051	8300
1312	4054	8296
1313	4056	8292
1314	4059	8289
1315	4062	8285
1316	4065	8282
1317	4068	8278
1318	4071	8275
1319	4073	8271
1320	4075	8265
1321	4078	8261
1322	4081	8257
1323	4084	8255
1324	4087	8251
1325	4089	8247
1326	4092	8243
1327	4095	8240
1328	4098	8237
1329	4101	8234
1330	4104	8231
1331	4107	8227
1332	4110	8224
1333	4113	8221
1334	4117	8218
1335	4120	8215
1336	4122	8211
1337	4126	8209
1338	4129	8205
1339	4132	8203
1340	4135	8199
1341	4138	8196
1342	4141	8192
1343	4144	8189
1344	4147	8187
1345	4150	8183
1346	4153	8180
1347	4156	8176
1348	4159	8173
1349	4162	8169
1350	4165	8166
1351	4168	8163
1352	4170	8159
1353	4173	8156
1354	4176	8152
1355	4179	8149
1356	4181	8144
1357	4184	8141
1358	4187	8138
1359	4190	8135
1360	4194	8132
1361	4196	8128
1362	4200	8125
1363	4202	8121
1364	4205	8118
1365	4207	8113
1366	4210	8110
1367	4213	8107
1368	4216	8104
1369	4219	8099
1370	4222	8096
1371	4225	8093
1372	4227	8089
1373	4230	8085
1374	4233	8082
1375	4236	8078
1376	4239	8074
1377	4242	8072
1378	4244	8067
1379	4248	8065
1380	4251	8062
1381	4254	8058
1382	4257	8055
1383	4260	8052
1384	4263	8049
1385	4266	8047
1386	4269	8043
1387	4272	8040
1388	4275	8037
1389	4278	8034
1390	4281	8030
1391	4284	8027
1392	4287	8023
1393	4290	8020
1394	4293	8017
1395	4296	8014
1396	4298	8010
1397	4301	8006
1398	4303	8001
1399	4307	7998
1400	4309	7994
1401	4312	7991
1402	4314	7986
1403	4317	7983
1404	4320	7980
1405	4323	7977
1406	4326	7974
1407	4329	7970
1408	4332	7966
1409	4335	7963
1410	4338	7960
1411	4341	7957
1412	4344	7954
1413	4347	7950
1414	4350	7947
1415	4353	7943
1416	4355	7939
1417	4357	7935
1418	4360	7931
1419	4363	7927
1420	4366	7924
1421	4368	7920
1422	4372	7917
1423	4374	7914
1424	4377	7910
1425	4380	7906
1426	4383	7903
1427	4386	7900
1428	4388	7896
1429	4391	7892
1430	4394	7889
1431	4397	7885
1432	4400	7882
1433	4403	7879
1434	4406	7876
1435	4409	7872
1436	4412	7869
1437	4414	7865
1438	4417	7862
1439	4420	7859
1440	4423	7855
1441	4426	7851
1442	4429	7848
1443	4432	7845
1444	4435	7842
1445	4438	7839
1446	4440	7835
1447	4443	7831
1448	4446	7828
1449	4449	7825
1450	4452	7821
1451	4455	7818
1452	4458	7814
1453	4460	7810
1454	4463	7807
1455	4466	7803
1456	4469	7800
1457	4471	7796
1458	4474	7791
1459	4476	7788
1460	4479	7785
1461	4483	7782
1462	4485	7778
1463	4488	7774
1464	4490	7770
1465	4493	7767
1466	4495	7762
1467	4499	7759
1468	4501	7756
1469	4504	7752
1470	4507	7748
